"nom.size","an","N","T","omega"
0.058,0.4,500,10,-8.80006343749185
0.032,0.01,500,10,-11.6817946633384
0.036,0.05,500,10,-11.6817946633384
0.03,0.1,500,10,-11.6817946633384
0.038,0.2,500,10,-11.6817946633384
0.028,0.3,500,10,-11.6817946633384
0.05,0.4,500,10,-11.6817946633384
0.04,0.01,500,10,-10.0087019505297
0.046,0.05,500,10,-10.0087019505297
0.026,0.1,500,10,-10.0087019505297
0.04,0.2,500,10,-10.0087019505297
0.036,0.3,500,10,-10.0087019505297
0.038,0.4,500,10,-10.0087019505297
0.04,0.01,500,10,-11.5512737029841
0.042,0.05,500,10,-11.5512737029841
0.036,0.1,500,10,-11.5512737029841
0.03,0.2,500,10,-11.5512737029841
0.058,0.3,500,10,-11.5512737029841
0.022,0.4,500,10,-11.5512737029841
0.054,0.01,500,10,-9.88027211783109
0.036,0.05,500,10,-9.88027211783109
0.036,0.1,500,10,-9.88027211783109
0.04,0.2,500,10,-9.88027211783109
0.022,0.3,500,10,-9.88027211783109
0.028,0.4,500,10,-9.88027211783109
0.046,0.01,500,10,-13.2127508230912
0.05,0.05,500,10,-13.2127508230912
0.036,0.1,500,10,-13.2127508230912
0.03,0.2,500,10,-13.2127508230912
0.036,0.3,500,10,-13.2127508230912
0.034,0.4,500,10,-13.2127508230912
0.036,0.01,500,10,-11.2476626293511
0.038,0.05,500,10,-11.2476626293511
0.048,0.1,500,10,-11.2476626293511
0.044,0.2,500,10,-11.2476626293511
0.032,0.3,500,10,-11.2476626293511
0.028,0.4,500,10,-11.2476626293511
0.048,0.01,500,10,-13.0844400462228
0.038,0.05,500,10,-13.0844400462228
0.04,0.1,500,10,-13.0844400462228
0.04,0.2,500,10,-13.0844400462228
0.048,0.3,500,10,-13.0844400462228
0.04,0.4,500,10,-13.0844400462228
0.04,0.01,500,10,-11.1219067611158
0.042,0.05,500,10,-11.1219067611158
0.042,0.1,500,10,-11.1219067611158
0.038,0.2,500,10,-11.1219067611158
0.03,0.3,500,10,-11.1219067611158
0.026,0.4,500,10,-11.1219067611158
